Sequence ID,name,length,exp number of AAs in TMHs,exp number of AAs in TMHs in the first 60 AAs,predicted number of TMH,topology,Probability of presequence,Prediction,Cleavage site (processing enzyme),Net charge,Positions for TOM20 recognition motif (deliminated by comma),Position of amphypathic alpha-helix,BHHPPP,BPHBHH,HBHHBb,HBHHbB,HHBHHB,HHBPHB,HHBPHH,HHBPHP,HHHBBH,HHHBPH,HHHHBB,HHPBHH,HPBHHP,PHHBPH
YP_195204.1,Hypothetical-Protein | belonging to T4-LIKE GC: 355 [Synechococcus phage S-PM2],116,46.48,23.32,2,i24-46o77-99i,0.255,No mitochondrial presequence,60(MPP),0.100,"1-5,5-9",1-10-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_008530893.1,hypothetical protein ADAWI_13 [Mycobacterium phage Adawi],133,75.32,30.94,4,i25-44o48-67i74-93o98-120i,0.129,No mitochondrial presequence,29(MPP),0.103,26-30,17-26-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009305420.1,hypothetical protein ADAWI_38 [Mycobacterium phage Adawi],99,38.56,38.52,2,i13-35o39-58i,0.137,No mitochondrial presequence,76(MPP),0.118,,6-17-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_008531015.1,hypothetical protein PHROSTYMUG_37 [Mycobacterium phage PhrostyMug],94,20.04,20.04,1,i5-27o,0.285,No mitochondrial presequence,86(MPP),0.058,41-45,1-10-low,-,-,-,-,-,-,1-6,-,-,-,-,-,-,-
YP_008531243.1,hypothetical protein BANE1_16 [Mycobacterium phage Bane1],133,74.47,30.84,3,i25-44o48-67i74-93o,0.137,No mitochondrial presequence,29(MPP),0.103,"26-30,71-75",17-26-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009016304.1,hypothetical protein AENEAS_39 [Mycobacterium phage Aeneas],94,20.03,20.03,1,i5-27o,0.299,No mitochondrial presequence,86(MPP),0.070,41-45,1-10-low,-,-,-,-,-,-,1-6,-,-,-,-,-,-,-
YP_009305197.1,polyprotein [Anopheles flavivirus variant 1],3341,392.31,6.06,15,i80-102o1128-1150i1171-1193o1208-1230i1291-1325o1390-1412i2081-2103o2144-2166i2179-2201o2234-2256i2265-2287o2302-2324i2362-2379o2384-2406i2418-2440o,0.137,No mitochondrial presequence,29(MPP),0.241,"26-30,29-33",21-30-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009310435.1,core protein precursor pX [Pigeon adenovirus 2],182,24.18,0.00,1,o144-166i,0.627,Possessing mitochondrial presequence,14(MPP),0.286,82-86,21-30-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009315903.1,ORF3 [Lodeiro virus],193,67.37,0.17,3,i113-130o140-162i175-192o,0.431,Possessing mitochondrial presequence,24(MPP),0.375,"18-22,62-66,94-98",15-24-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009316030.1,occlusion-derived virus envelope/capsid protein [Anticarsia gemmatalis multiple nucleopolyhedrovirus],372,38.67,0.01,1,o322-344i,0.313,No mitochondrial presequence,"27(MPP), 35(Oct1)",0.111,10-14,7-16-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009316040.1,p74 [Anticarsia gemmatalis multiple nucleopolyhedrovirus],644,61.43,0.00,3,o435-457i590-609o613-630i,0.133,No mitochondrial presequence,43(MPP),0.047,"12-16,32-36,62-66",13-22-high,-,-,-,-,-,-,-,-,-,-,-,-,12-17,-
YP_009316071.1,hypothetical protein AGNV_054 [Anticarsia gemmatalis multiple nucleopolyhedrovirus],103,23.11,10.63,1,i50-72o,0.168,No mitochondrial presequence,26(MPP),0.077,,17-26-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009316017.1,coat protein [Cotton leaf curl virus],256,19.48,0.00,1,i227-249o,0.298,No mitochondrial presequence,31(MPP),0.194,"55-59,86-90",10-21-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009249460.1,6 kDa protein [Grapevine leafroll-associated virus 13],53,24.86,24.86,1,i7-29o,0.135,No mitochondrial presequence,37(MPP),0.081,4-8,4-13-high,-,-,-,-,-,-,18-23,-,-,17-22,-,-,-,-
YP_009320842.1,hypothetical protein [Salmonella phage 100268_sal2],61,22.78,22.78,1,i13-35o,0.117,No mitochondrial presequence,19(MPP),0.211,2-6,2-13-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009321656.1,hypothetical protein PC14_00057 [Campylobacter phage PC14],112,19.81,19.81,1,o4-26i,0.299,No mitochondrial presequence,29(MPP),0.069,26-30,1-10-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009321690.1,hypothetical protein PC14_00091 [Campylobacter phage PC14],148,23.82,0.00,1,i108-130o,0.123,No mitochondrial presequence,11(MPP),0.182,"53-57,86-90",20-30-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009322529.1,plastoquinol terminal oxidase [Synechococcus phage S-CAM9],168,21.10,2.63,1,i93-112o,0.230,No mitochondrial presequence,22(MPP),0.136,"4-8,16-20,25-29,90-94,95-99",15-24-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009322733.1,inner-membrane spanin protein [Salmonella phage IME207],159,16.53,16.53,1,i7-24o,0.567,Possessing mitochondrial presequence,26(MPP),0.115,4-8,2-11-high,-,-,5-10,-,4-9,-,-,-,-,-,-,-,-,-
YP_009323342.1,hypothetical protein WG01_143 [Escherichia phage WG01],61,40.66,40.66,2,o10-32i37-54o,0.107,No mitochondrial presequence,9(MPP),0.222,,5-14-low,-,-,-,-,-,-,6-11,-,-,-,-,-,-,-
YP_009324036.1,hypothetical protein MX01_139 [Escherichia phage MX01],61,41.15,41.15,2,o10-32i39-58o,0.115,No mitochondrial presequence,9(MPP),0.222,54-58,5-14-low,-,-,-,-,-,-,6-11,-,-,-,-,-,-,-
YP_009324990.1,hypothetical protein GA2A_54 [Escherichia phage vB_EcoP_GA2A],52,20.29,20.29,1,i20-39o,0.148,No mitochondrial presequence,"20(MPP), 21(Icp55*)",0.250,7-11,4-13-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009325001.1,hypothetical protein P090810_011 [Synechococcus phage S-WAM1],1039,46.33,0.09,1,i215-237o,0.456,Possessing mitochondrial presequence,26(MPP),0.115,"5-9,20-24",18-27-high,-,-,-,-,-,-,-,23-28,3-8,-,2-7,-,-,-
YP_009325294.1,bactoprenol-linked glucose translocase [Salmonella phage 103203_sal5],120,81.82,39.72,4,i12-31o35-54i67-84o94-116i,0.122,No mitochondrial presequence,67(MPP),0.060,1-5,12-21-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009323842.1,hypothetical protein [Salmonella phage 118970_sal2],61,22.78,22.78,1,i13-35o,0.117,No mitochondrial presequence,19(MPP),0.211,2-6,2-13-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009324522.1,Phage DNA packaging [Escherichia phage LM33_P1],587,19.15,17.54,1,i20-37o,0.132,No mitochondrial presequence,39(MPP),0.103,"27-31,74-78",12-21-low,-,-,-,-,-,-,6-11,-,-,5-10,-,-,-,-
YP_009324523.1,Phage protein [Escherichia phage LM33_P1],52,20.29,20.29,1,i20-39o,0.179,No mitochondrial presequence,"20(MPP), 21(Icp55*)",0.250,7-11,4-13-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009191766.1,tail length tape-measure protein [Salmonella phage SEN5],974,83.62,0.00,2,o547-569i628-650o,0.357,No mitochondrial presequence,76(MPP),0.092,,13-22-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009191742.1,hypothetical protein SEN5_47 [Salmonella phage SEN5],281,67.56,42.57,3,o4-26i38-60o100-122i,0.414,Possessing mitochondrial presequence,20(MPP),0.050,"62-66,81-85",6-15-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009218837.1,tail length tape-measure protein [Salmonella phage SEN4],974,83.62,0.00,2,o547-569i628-650o,0.357,No mitochondrial presequence,76(MPP),0.092,,13-22-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009218813.1,hypothetical protein SEN4_47 [Salmonella phage SEN4],281,67.56,42.57,3,o4-26i38-60o100-122i,0.414,Possessing mitochondrial presequence,20(MPP),0.050,"62-66,81-85",6-15-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009237226.1,hypothetical protein [Pyrobaculum filamentous virus 1],214,15.28,0.00,1,i98-120o,0.286,No mitochondrial presequence,15(MPP),0.200,"12-16,63-67,70-74,87-91",13-22-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009237250.1,hypothetical protein [Pyrobaculum filamentous virus 1],112,77.26,45.82,3,o5-27i34-56o76-98i,0.149,No mitochondrial presequence,32(MPP),0.031,,10-19-low,-,-,-,-,-,-,2-7,-,-,1-6,-,-,-,-
YP_009283948.1,hypothetical protein [Salmonella phage GG32],217,16.15,15.87,1,o10-32i,0.349,No mitochondrial presequence,"25(MPP), 33(Oct1)",0.160,7-11,2-11-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009325343.1,pX [Bat mastadenovirus],69,22.82,20.87,1,i40-62o,0.349,No mitochondrial presequence,26(MPP),0.308,,14-23-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009325401.1,nonstructural protein NS5B [Norway rat hepacivirus 1],583,20.34,0.01,1,o560-582i,0.333,No mitochondrial presequence,21(MPP),0.143,,8-19-high,-,-,-,-,-,-,-,22-27,-,21-26,-,-,-,-
YP_009109558.1,flavivirus polyprotein [Norway rat hepacivirus 2],2855,305.03,0.01,13,o338-360i625-647o657-679i686-708o718-740i761-783o1524-1546i1631-1653o1658-1675i1682-1704o1708-1727i1740-1762o2835-2854i,0.874,Possessing mitochondrial presequence,30(MPP),0.267,96-100,1-10-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009325402.1,core protein C [Norway rat hepacivirus 2],165,17.58,0.00,1,i138-160o,0.909,Possessing mitochondrial presequence,30(MPP),0.267,96-100,1-10-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009325411.1,nonstructural protein NS5B [Norway rat hepacivirus 2],580,35.89,0.01,1,o560-579i,0.774,Possessing mitochondrial presequence,"19(MPP), 20(Icp55*)",0.263,8-12,8-20-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NP_757361.1,putative NS5B RNA-dependent RNA polymerase [Hepatitis GB virus B],590,23.92,0.01,1,o572-589i,0.278,No mitochondrial presequence,24(MPP),0.083,"15-19,21-25,74-78",2-11-low,-,-,-,-,-,-,-,-,-,-,-,-,"15-20,21-26",-
YP_009179227.1,flavivirus polyprotein [Wenling shark virus],3086,322.99,0.01,11,o450-472i679-701o716-738i751-773o788-807i846-868o1812-1834i1847-1869o1879-1901i1914-1936o3062-3084i,0.677,Possessing mitochondrial presequence,28(MPP),0.250,"13-17,17-21,57-61",13-22-high,-,-,-,-,13-18,-,-,-,-,-,-,-,-,-
YP_009289785.1,putative lipoprotein [Acinetobacter phage vB_AbaS_TRS1],89,36.25,16.22,2,i40-58o64-83i,0.105,No mitochondrial presequence,"43(MPP), 44(Icp55*)",0.047,40-44,1-10-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009325546.1,hypothetical protein [Only Syngen Nebraska virus 5],92,20.09,14.68,1,i47-66o,0.197,No mitochondrial presequence,44(MPP),0.136,1-5,10-19-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009325597.1,Potassium ion channel protein [Only Syngen Nebraska virus 5],94,41.78,21.68,2,i13-35o73-92i,0.607,Possessing mitochondrial presequence,30(MPP),0.067,"4-8,15-19,27-31,81-85",3-19-high,6-11,-,-,-,-,-,-,-,2-7,-,1-6,-,-,-
YP_009325708.1,hypothetical protein [Only Syngen Nebraska virus 5],152,18.17,0.00,1,i128-150o,0.197,No mitochondrial presequence,16(MPP),0.062,53-57,9-19-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009325730.1,hypothetical protein [Only Syngen Nebraska virus 5],162,17.51,17.46,1,o5-22i,0.310,No mitochondrial presequence,52(MPP),0.038,,10-19-low,-,-,-,-,-,-,-,-,-,-,19-24,-,-,-
NP_041331.2,minor capsid protein L2 [Human papillomavirus type 16],473,17.82,11.51,1,i45-67o,0.185,No mitochondrial presequence,13(MPP),0.538,,15-24-high,-,-,-,-,-,18-23,-,-,-,-,-,-,-,17-22
YP_009328909.1,pX [Simian mastadenovirus WIV19],83,22.74,7.88,1,i50-72o,0.812,Possessing mitochondrial presequence,30(MPP),0.300,,6-15-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009329638.1,hypothetical protein BAV00035 [BeAn 58058 virus],183,24.47,0.07,1,i156-178o,0.201,No mitochondrial presequence,17(MPP),0.000,"7-11,10-14,25-29,72-76,93-97",9-18-high,-,-,-,-,7-12,-,-,-,"13-18,23-28",-,22-27,-,-,-
YP_009329757.1,protein A34 [BeAn 58058 virus],113,22.51,22.18,1,i21-43o,0.222,No mitochondrial presequence,92(MPP),0.087,54-58,21-30-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009179391.1,capsid protein [Olive latent virus 2],175,17.60,13.89,1,i21-43o,0.250,No mitochondrial presequence,13(MPP),0.462,"10-14,47-51,59-63,74-78",7-16-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NP_059482.1,coat protein readthrough [Chinese wheat mosaic virus],759,49.65,0.11,2,o288-310i550-572o,0.517,Possessing mitochondrial presequence,26(MPP),0.077,,9-19-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_001008348.1,flavivirus polyprotein [St. Louis encephalitis virus],3430,458.72,8.07,18,o740-762i769-788o1139-1161i1173-1195o1215-1237i1266-1283o1303-1325i1338-1360o1396-1415i1471-1493o2168-2190i2197-2214o2218-2237i2250-2272o2307-2329i2334-2356o2376-2398i2445-2462o,0.806,Possessing mitochondrial presequence,20(MPP),0.350,30-34,11-21-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_005271189.1,"pX, Mu peptide precursor [Bat adenovirus TJM]",69,22.77,20.56,1,i40-62o,0.761,Possessing mitochondrial presequence,32(MPP),0.375,,14-24-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NP_722514.1,core protein C [Murray Valley encephalitis virus],105,19.56,17.22,1,o42-59i,0.131,No mitochondrial presequence,69(MPP),0.203,"21-25,30-34",13-25-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NP_722515.1,anchored core protein [Murray Valley encephalitis virus],125,37.94,17.50,2,o42-59i107-124o,0.110,No mitochondrial presequence,69(MPP),0.203,"21-25,30-34",13-25-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_001040007.1,flavivirus polyprotein [Kokobera virus],3410,357.55,9.46,16,o738-760i767-786o1170-1189i1212-1234o1254-1276i1289-1311o1334-1356i1363-1385o1390-1407i1463-1485o2159-2181i2188-2207o2212-2229i2241-2263o2292-2314i2362-2384o,0.964,Possessing mitochondrial presequence,20(MPP),0.350,"21-25,31-35",11-20-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009328360.1,flavivirus polyprotein [New Mapoon virus],3409,385.25,10.55,16,o738-760i767-789o1170-1189i1241-1263o1298-1320i1333-1355o1386-1408i1463-1485o2159-2181i2188-2207o2212-2229i2241-2263o2291-2313i2318-2340o2355-2377i2425-2444o,0.967,Possessing mitochondrial presequence,"34(MPP), 35(Icp55*)",0.324,"21-25,31-35,67-71",15-28-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009330018.1,hypothetical protein [Hubei astro-like virus],441,172.06,41.10,8,o5-27i40-62o96-113i133-152o162-184i197-219o267-289i309-331o,0.411,Possessing mitochondrial presequence,30(MPP),0.133,"1-5,48-52,93-97",1-12-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009330037.1,polyprotein [Fusarium langsethiae hypovirus 1],3951,255.01,0.00,12,o1156-1178i1256-1278o1568-1587i1600-1622o1637-1659i1746-1768o1778-1800i1856-1878o3069-3091i3098-3120o3135-3157i3162-3184o,0.250,No mitochondrial presequence,15(MPP),0.000,,11-20-high,-,-,-,-,-,-,12-17,-,-,-,-,-,-,11-16
YP_009330148.1,ODV-E56 [Plodia interpunctella granulovirus],354,35.67,0.36,1,o321-343i,0.189,No mitochondrial presequence,11(MPP),0.182,68-72,1-10-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_001040004.1,flavivirus polyprotein [Aroa virus],3429,377.47,16.10,14,o745-767i1178-1197o1217-1239i1251-1273o1307-1329i1342-1364o1379-1396i1476-1498o2171-2193i2202-2221o2226-2243i2255-2277o2308-2330i2381-2403o,0.985,Possessing mitochondrial presequence,20(MPP),0.300,31-35,10-19-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_002790882.1,flavivirus polyprotein [Kedougou virus],3408,369.99,17.35,13,i34-56o734-756i763-781o1133-1155i1168-1190o2159-2176i2183-2205o2209-2226i2239-2261o2293-2315i2322-2344o2359-2381i2430-2447o,0.998,Possessing mitochondrial presequence,66(MPP),0.212,"27-31,31-35",13-22-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_002790883.1,flavivirus polyprotein [Bagaza virus],3426,446.19,17.01,18,o741-763i770-792o1140-1162i1175-1197o1217-1236i1249-1271o1306-1325i1337-1356o1371-1393i1400-1422o2169-2191i2196-2218o2223-2240i2252-2274o2307-2329i2336-2358o2373-2395i2440-2462o,0.961,Possessing mitochondrial presequence,21(MPP),0.286,"11-15,31-35",11-20-high,-,-,-,-,-,-,-,-,-,-,-,-,11-16,-
NP_059434.1,flavivirus polyprotein [Japanese encephalitis virus],3432,414.82,14.89,16,o44-66i106-128o745-767i1179-1201o1221-1243i1250-1272o1282-1304i1343-1365o1375-1397i1477-1499o2174-2193i2200-2222o2227-2244i2256-2278o2310-2332i2367-2389o,0.282,No mitochondrial presequence,33(MPP),0.273,"21-25,30-34",15-25-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NP_775662.1,core protein C [Japanese encephalitis virus],105,18.31,13.80,1,o44-66i,0.474,Possessing mitochondrial presequence,33(MPP),0.273,"21-25,30-34",15-25-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_006355435.1,truncated JEV polyprotein [Japanese encephalitis virus],1198,107.02,15.09,4,o44-66i106-128o745-767i774-796o,0.246,No mitochondrial presequence,33(MPP),0.273,"21-25,30-34",15-25-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_004734464.1,flavivirus polyprotein [Tembusu virus],3425,450.57,14.82,16,o1138-1160i1172-1194o1214-1236i1277-1299o1304-1323i1335-1357o1367-1389i1396-1415o2167-2189i2194-2216o2221-2238i2250-2272o2303-2325i2332-2354o2369-2391i2438-2460o,0.397,Possessing mitochondrial presequence,21(MPP),0.286,,12-21-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009126874.1,flavivirus polyprotein [Cacipacore virus],3427,449.80,14.89,20,o44-66i110-132o248-267i274-296o740-762i769-791o1138-1160i1173-1195o1215-1237i1308-1325o1340-1362i1369-1391o1396-1415i1472-1494o2168-2190i2195-2217o2222-2239i2251-2273o2370-2392i2440-2459o,0.638,Possessing mitochondrial presequence,20(MPP),0.300,30-34,11-20-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009333101.1,truncated polyprotein [Cacipacore virus],1193,124.86,14.90,6,o44-66i110-132o248-267i274-296o740-762i769-791o,0.589,Possessing mitochondrial presequence,20(MPP),0.300,30-34,11-20-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009333103.1,core protein C [Cacipacore virus],104,15.41,12.17,1,o44-66i,0.820,Possessing mitochondrial presequence,20(MPP),0.300,30-34,11-20-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_001040006.1,flavivirus polyprotein [Ilheus virus],3424,446.66,18.28,21,i40-57o102-124i245-264o269-291i737-759o764-786i1169-1191o1213-1235i1271-1293o1303-1322i1335-1357o1394-1413i1470-1492o2165-2187i2192-2211o2216-2235i2248-2270o2302-2324i2331-2353o2373-2395i2438-2460o,0.993,Possessing mitochondrial presequence,20(MPP),0.350,"17-21,32-36,41-45,51-55",11-20-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_164264.1,flavivirus polyprotein [Usutu virus],3434,437.00,17.42,16,o44-66i105-127o253-272i279-301o745-767i1175-1197o1217-1239i1251-1273o1293-1312i1342-1364o1374-1396i1476-1498o2172-2194i2199-2221o2226-2243i2255-2277o,0.292,No mitochondrial presequence,33(MPP),0.273,"21-25,30-34",15-25-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_164807.1,anchored core protein C [Usutu virus],126,43.25,17.75,2,o44-66i105-124o,0.447,Possessing mitochondrial presequence,33(MPP),0.273,"21-25,30-34",15-25-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_164808.1,core protein C [Usutu virus],104,23.97,17.24,1,o44-66i,0.500,Possessing mitochondrial presequence,33(MPP),0.273,"21-25,30-34",15-25-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_006485884.1,truncated polyprotein [Usutu virus],1197,126.20,17.73,6,o44-66i105-127o253-272i279-301o744-766i773-792o,0.254,No mitochondrial presequence,33(MPP),0.273,"21-25,30-34",15-25-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_006846328.2,flavivirus polyprotein [Ntaya virus],3427,444.75,17.22,16,o741-763i770-792o1170-1192i1246-1263o1304-1326i1339-1361o1371-1393i1400-1422o2169-2191i2196-2218o2223-2240i2252-2274o2305-2327i2334-2356o2371-2393i2440-2462o,0.914,Possessing mitochondrial presequence,81(MPP),0.198,"11-15,31-35",11-20-high,-,-,-,-,-,-,-,-,-,-,-,-,11-16,-
YP_009333134.1,replicase protein [Bermuda grass latent virus],333,31.29,9.91,2,i21-38o114-136i,0.777,Possessing mitochondrial presequence,23(MPP),0.174,"11-15,27-31,62-66",12-21-high,-,19-24,-,-,-,17-22,-,-,-,-,-,-,-,16-21
YP_009333273.1,hypothetical protein 1 [Beihai mantis shrimp virus 4],2008,42.08,0.00,2,o544-566i1070-1092o,0.400,Possessing mitochondrial presequence,54(MPP),0.148,"2-6,43-47",1-11-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009333303.1,hypothetical protein 1 [Beihai paphia shell virus 1],1968,91.76,9.83,3,i50-72o820-842i871-890o,0.276,No mitochondrial presequence,41(MPP),0.244,92-96,2-11-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009333324.1,putative glycoprotein 1 [Beihai hermit crab virus 4],537,64.34,0.03,3,o419-441i454-471o503-525i,0.695,Possessing mitochondrial presequence,26(MPP),0.192,"68-72,86-90",21-30-high,-,-,-,-,-,-,"1-6,10-15",-,-,9-14,-,-,-,-
YP_009333333.1,putative glycoprotein 1 [Beihai Nido-like virus 2],778,83.34,0.02,3,o659-681i694-711o744-766i,0.101,No mitochondrial presequence,45(MPP),0.089,,19-28-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009333345.1,hypothetical protein [Beihai Nido-like virus 1],4867,257.77,1.28,10,o895-917i924-946o966-988i1008-1030o1034-1053i1538-1560o1613-1635i1655-1677o1682-1701i1708-1730o,0.131,No mitochondrial presequence,"29(MPP), 30(Icp55*)",0.103,26-30,21-30-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009329958.1,hypothetical protein [Beihai noda-like virus 18],1035,51.45,38.47,2,o4-26i39-61o,0.195,No mitochondrial presequence,"27(MPP), 28(Icp55*)",0.074,"42-46,60-64,86-90",1-12-low,-,-,-,-,-,-,-,24-29,-,23-28,-,-,-,-
YP_009330068.1,hypothetical protein 1 [Hubei sobemo-like virus 33],585,42.88,19.79,2,o4-23i91-110o,0.226,No mitochondrial presequence,22(MPP),0.091,"7-11,19-23,53-57,87-91",7-16-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009330085.1,hypothetical protein 1 [Hubei sobemo-like virus 30],573,43.03,0.11,2,o78-100i242-264o,0.153,No mitochondrial presequence,12(MPP),0.083,"9-13,95-99",5-16-high,-,-,-,-,9-14,-,-,-,-,-,-,-,-,-
YP_009330097.1,hypothetical protein 2 [Hubei sobemo-like virus 13],287,89.13,0.58,4,i74-96o122-144i157-179o211-233i,0.925,Possessing mitochondrial presequence,74(MPP),0.135,"4-8,13-17,64-68,71-75",16-25-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009330123.1,hypothetical protein 1 [Hubei sobemo-like virus 23],560,40.24,19.36,2,o10-29i86-104o,0.368,No mitochondrial presequence,16(MPP),0.062,"7-11,68-72,75-79,90-94",3-14-low,-,-,-,-,-,-,-,-,-,-,-,6-11,7-12,-
YP_009330268.1,hypothetical protein 1 [Hubei tetragnatha maxillosa virus 6],601,43.91,15.15,1,i79-98o,0.538,Possessing mitochondrial presequence,26(MPP),0.154,"10-14,23-27,34-38,43-47,64-68",5-14-high,-,-,-,-,-,-,-,-,-,-,-,9-14,-,-
YP_009333154.1,putative glycoprotein [Beihai hermit crab virus 3],739,56.35,0.11,2,o540-562i583-605o,0.373,No mitochondrial presequence,73(MPP),-0.014,70-74,4-13-high,-,-,-,-,-,-,4-9,-,-,3-8,-,-,-,-
YP_009333191.1,hypothetical protein 4 [Beihai barnacle virus 7],163,22.91,0.00,1,o102-124i,0.180,No mitochondrial presequence,26(MPP),0.038,"20-24,57-61",20-30-high,-,-,-,-,20-25,-,-,-,-,-,-,-,-,-
YP_009333196.1,hypothetical protein 4 [Lake Sinai virus],150,19.37,19.33,1,o5-24i,0.153,No mitochondrial presequence,"23(MPP), 31(Oct1)",0.087,58-62,19-28-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009333206.1,hypothetical protein [Beihai anemone virus 1],203,67.91,0.24,3,i61-78o124-156i163-180o,0.590,Possessing mitochondrial presequence,42(MPP),0.190,78-82,1-13-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009333218.1,hypothetical protein [Beihai barnacle virus 2],188,77.22,0.11,4,i67-89o109-128i135-157o167-186i,0.409,Possessing mitochondrial presequence,34(MPP),0.412,31-35,21-30-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009333390.1,hypothetical protein 1 [Beihai picorna-like virus 47],1642,44.74,0.00,2,o691-713i809-831o,0.327,No mitochondrial presequence,24(MPP),0.208,,11-20-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009333468.1,hypothetical protein [Beihai sea slater virus 4],458,22.77,22.37,1,i21-43o,0.408,Possessing mitochondrial presequence,18(MPP),0.167,5-9,7-16-high,-,-,-,-,5-10,-,-,-,-,-,-,-,-,-
YP_009333297.1,polyprotein [Beihai hypo-like virus 1],3165,201.64,0.00,8,o401-423i524-546o643-665i786-808o818-840i1123-1145o1155-1177i1388-1410o,0.523,Possessing mitochondrial presequence,17(MPP),0.353,,4-13-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009333388.1,hypothetical protein 1 [Beihai picorna-like virus 64],1587,45.06,0.00,2,o588-610i651-670o,0.332,No mitochondrial presequence,"26(MPP), 27(Icp55*)",0.077,84-88,4-13-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009333427.1,hypothetical protein [Beihai picorna-like virus 55],2663,45.14,0.00,2,o764-786i822-844o,0.334,No mitochondrial presequence,18(MPP),0.222,,15-24-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009333452.1,hypothetical protein 1 [Beihai razor shell virus 2],1786,52.80,0.00,2,o826-848i921-940o,0.759,Possessing mitochondrial presequence,22(MPP),0.318,48-52,11-20-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
