 Sequence ID, Probability of presequence, Prediction,Cleavage_site, Net charge, Positions for TOM20 recognition motif (deliminated by comma), Position of amphypathic alpha-helix, BHHPPP, BPHBHH, HBHHBb, HBHHbB, HHBHHB, HHBPHB, HHBPHH, HHBPHP, HHHBBH, HHHBPH, HHHHBB, HHPBHH, HPBHHP, PHHBPH,
 NP_954665 GeneID:12040 Bckdhb,0, No mitochondrial presequence, 36(MPP),-0.056, , 2-11-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_032641 GeneID:17436 Me1,0.022, No mitochondrial presequence, 10(MPP),0.3," 55-59,69-73,94-98", 17-28-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001185862 GeneID:17436 Me1,0, No mitochondrial presequence, 45(MPP),-0.022," 35-39,49-53,74-78", 19-28-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_653116 GeneID:74080 Nmnat3,0.03, No mitochondrial presequence, 25(MPP),0.12, 67-71, 15-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_780533 GeneID:102632 Acad11,0, No mitochondrial presequence, 49(MPP),-0.061, 88-92, 20-29-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_061227 GeneID:54369 Nme6,0.003, No mitochondrial presequence, 83(MPP),0.048," 56-60,69-73", 1-10-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_080718 GeneID:67899 Cmc1,0, No mitochondrial presequence, 41(MPP),-0.024," 19-23,38-42", 8-18-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001013423 GeneID:382117 Tcaim,0.823, Possessing mitochondrial presequence," 36(MPP), 37(Icp55*)",0.167," 23-27,27-31,33-37", 6-15-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_075656 GeneID:66163 Mrpl4,0.995, Possessing mitochondrial presequence, 20(MPP),0.2, 1-5, 19-28-high, -, -, -, -, -, -, 20-25, -, -, -, -, -, -, -, 
 NP_001034913 GeneID:68165 Fdx1l,0.996, Possessing mitochondrial presequence," 35(MPP), 43(Oct1)",0.143," 14-18,26-30", 14-23-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_068688 GeneID:60507 Qtrt1,0.012, No mitochondrial presequence, 19(MPP),0.053," 13-17,16-20", 13-22-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_848692 GeneID:235043 Tmem205,0.017, No mitochondrial presequence, 40(MPP),0," 10-14,13-17", 9-18-high, -, -, -, -, 10-15, -, -, -, -, -, -, -, -, -, 
 NP_001240799 GeneID:235043 Tmem205,0.017, No mitochondrial presequence, 40(MPP),0," 10-14,13-17", 9-18-high, -, -, -, -, 10-15, -, -, -, -, -, -, -, -, -, 
 NP_001240798 GeneID:235043 Tmem205,0.017, No mitochondrial presequence, 40(MPP),0," 10-14,13-17", 9-18-high, -, -, -, -, 10-15, -, -, -, -, -, -, -, -, -, 
 NP_001240797 GeneID:235043 Tmem205,0.017, No mitochondrial presequence, 40(MPP),0," 10-14,13-17", 9-18-high, -, -, -, -, 10-15, -, -, -, -, -, -, -, -, -, 
 NP_001240796 GeneID:235043 Tmem205,0, No mitochondrial presequence, 42(MPP),0.048," 66-70,69-73", 17-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001240827 GeneID:26940 Ecsit,0.928, Possessing mitochondrial presequence, 40(MPP),0.1, , 9-18-high, -, -, -, -, -, -, -, 9-14, -, 8-13, -, -, -, -, 
 NP_001240826 GeneID:26940 Ecsit,0.928, Possessing mitochondrial presequence, 40(MPP),0.1, , 9-18-high, -, -, -, -, -, -, -, 9-14, -, 8-13, -, -, -, -, 
 NP_036159 GeneID:26940 Ecsit,0.928, Possessing mitochondrial presequence, 40(MPP),0.1, , 9-18-high, -, -, -, -, -, -, -, 9-14, -, 8-13, -, -, -, -, 
 NP_080138 GeneID:66948 Acad8,0.99, Possessing mitochondrial presequence, 28(MPP),0.214," 13-17,46-50,76-80", 14-23-high, -, -, -, -, -, -, 17-22, -, -, 16-21, -, -, -, -, 
 NP_083575 GeneID:75469 Spata19,0.038, No mitochondrial presequence, 56(MPP),-0.054, 39-43, 20-29-low, -, -, -, -, -, -, -, -, -, -, 9-14, -, -, -, 
 NP_758495 GeneID:235169 Foxred1,0.931, Possessing mitochondrial presequence, 18(MPP),0.222," 2-6,91-95", 1-10-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_082316 GeneID:71989 Rpusd4,0.094, No mitochondrial presequence, 40(MPP),0.1, 43-47, 6-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001157215 GeneID:270151 Nlrx1,0.05, No mitochondrial presequence, 52(MPP),0.096, , 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_848507 GeneID:270151 Nlrx1,0.05, No mitochondrial presequence, 52(MPP),0.096, , 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001157214 GeneID:270151 Nlrx1,0.05, No mitochondrial presequence, 52(MPP),0.096, , 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001103721 GeneID:15288 Hmbs,0.304, No mitochondrial presequence, 16(MPP),0.312, 24-28, 19-29-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_038579 GeneID:15288 Hmbs,0, No mitochondrial presequence, 33(MPP),0.121, 41-45, 20-29-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_032089 GeneID:14385 Slc37a4,0.088, No mitochondrial presequence, 11(MPP),0.091, 62-66, 13-22-low, -, -, -, -, -, -, 8-13, -, -, -, -, -, -, -, 
 NP_038823 GeneID:27425 Atp5l,0.727, Possessing mitochondrial presequence, 27(MPP),0.148," 1-5,30-34,53-57", 1-10-high, -, -, -, -, 1-6, -, 4-9, -, -, -, -, -, -, -, 
 NP_077195 GeneID:104444 Rexo2,0.948, Possessing mitochondrial presequence, 25(MPP),0.2, 40-44, 5-14-high, -, -, 8-13, -, -, -, -, -, -, -, -, -, -, -, 
 NP_035350 GeneID:19286 Pts,0.915, Possessing mitochondrial presequence, 16(MPP),0.25, 13-17, 13-22-low, -, -, -, -, -, -, -, -, -, -, -, -, 13-18, -, 
 NP_038925 GeneID:30057 Timm8b,0, No mitochondrial presequence, 15(MPP),-0.267," 12-16,29-33,37-41,60-64", 4-16-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_663589 GeneID:235339 Dlat,0.953, Possessing mitochondrial presequence," 84(MPP), 85(Icp55*)",0.179, 1-5, 16-25-low, -, -, -, -, -, -, -, -, 4-9, -, -, -, -, -, 
 NP_080124 GeneID:66925 Sdhd,0.513, Possessing mitochondrial presequence, 28(MPP),0.179, , 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_032022 GeneID:14148 Fdx1,0.952, Possessing mitochondrial presequence," 56(MPP), 57(Icp55*)",0.089, 9-13, 8-17-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_083849 GeneID:67834 Idh3a,0.979, Possessing mitochondrial presequence," 26(MPP), 27(Icp55*)",0.154," 10-14,50-54", 10-19-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_663590 GeneID:110842 Etfa,0.996, Possessing mitochondrial presequence, 19(MPP),0.211," 1-5,10-14,60-64,67-71,73-77", 15-24-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_036122 GeneID:26611 Rcn2,0, No mitochondrial presequence, 69(MPP),-0.058, , 8-17-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001265203 GeneID:26611 Rcn2,0, No mitochondrial presequence, 69(MPP),-0.058, , 8-17-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_031773 GeneID:12858 Cox5a,0.998, Possessing mitochondrial presequence," 36(MPP), 37(Icp55*)",0.111, 88-92, 14-23-high, -, -, -, -, -, -, -, -, 4-9, -, 3-8, -, -, -, 
 NP_062753 GeneID:13070 Cyp11a1,0.991, Possessing mitochondrial presequence, 44(MPP),0.114, 59-63, 8-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_081366 GeneID:69478 2300009A05Rik,0.881, Possessing mitochondrial presequence, 45(MPP),0.133, , 4-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001037854 GeneID:270166 Clpx,0.681, Possessing mitochondrial presequence," 16(MPP), 24(Oct1)",0.062, 13-17, 15-28-high, 15-20, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_035932 GeneID:270166 Clpx,0.682, Possessing mitochondrial presequence," 16(MPP), 24(Oct1)",0.062, 13-17, 15-28-high, 15-20, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_081410 GeneID:69606 Mtfmt,0.368, No mitochondrial presequence, 19(MPP),0.263," 3-7,8-12,60-64", 3-12-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_766041 GeneID:208084 Pif1,0, No mitochondrial presequence, 93(MPP),0.032," 50-54,86-90,90-94", 1-12-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_109642 GeneID:80907 Lactb,0.33, No mitochondrial presequence, 26(MPP),0.115, 1-5, 1-10-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_080934 GeneID:68291 Mto1,0.996, Possessing mitochondrial presequence, 24(MPP),0.25, , 11-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_034075 GeneID:12866 Cox7a2,0.994, Possessing mitochondrial presequence," 15(MPP), 23(Oct1)",0.2, , 8-17-high, -, -, -, -, -, -," 1-6,7-12", -, -, 6-11, -, -, -, -, 
 NP_848853 GeneID:244954 Prss35,0, No mitochondrial presequence," 94(MPP), 95(Icp55*)",-0.117, , 17-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001122073 GeneID:100039707 Gm2382,0.127, No mitochondrial presequence," 23(MPP), 24(Icp55*)",0.217, , 13-24-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_081105 GeneID:107885 Mthfs,0.128, No mitochondrial presequence," 23(MPP), 24(Icp55*)",0.217, , 13-24-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_620095 GeneID:192287 Slc25a36,0.005, No mitochondrial presequence, 34(MPP),0.029," 7-11,56-60,67-71", 5-14-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_079761 GeneID:64655 Mrps22,0.992, Possessing mitochondrial presequence," 52(MPP), 53(Icp55*)",0.173," 20-24,74-78", 3-12-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_080111 GeneID:66904 Pccb,0.953, Possessing mitochondrial presequence, 29(MPP),0.138, , 18-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_444389 GeneID:94062 Mrpl3,0.869, Possessing mitochondrial presequence, 40(MPP),0.125, , 7-16-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_777271 GeneID:235582 Glyctk,0.875, Possessing mitochondrial presequence," 58(MPP), 59(Icp55*)",0.052, 86-90, 4-13-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001034675 GeneID:235582 Glyctk,0.875, Possessing mitochondrial presequence," 58(MPP), 59(Icp55*)",0.052, 86-90, 4-13-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_945149 GeneID:67905 Ppm1m,0.05, No mitochondrial presequence, 43(MPP),0.07, 35-39, 20-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_065584 GeneID:11655 Alas1,0.997, Possessing mitochondrial presequence," 47(MPP), 55(Oct1)",0.128, 33-37, 11-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_080723 GeneID:67905 Ppm1m,0.155, No mitochondrial presequence, 39(MPP),0.179, 91-95, 6-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_598745 GeneID:69536 Hemk1,0.111, No mitochondrial presequence, 20(MPP),0.2," 49-53,69-73", 4-13-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_032186 GeneID:14775 Gpx1,0.003, No mitochondrial presequence," 53(MPP), 54(Icp55*)",0.038, , 5-14-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001013836 GeneID:434437 Amt,0.744, Possessing mitochondrial presequence," 25(MPP), 26(Icp55*)",0.12," 1-5,81-85", 1-11-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_075736 GeneID:66706 Ndufaf3,0.453, Possessing mitochondrial presequence, 32(MPP),0.219, 22-26, 18-27-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_065266 GeneID:57279 Slc25a20,0.025, No mitochondrial presequence, 38(MPP),0.026, , 6-15-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_079683 GeneID:22273 Uqcrc1,0.837, Possessing mitochondrial presequence, 34(MPP),0.176," 6-10,93-97", 6-17-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_079965 GeneID:66658 Ccdc51,0.689, Possessing mitochondrial presequence, 35(MPP),0.086," 10-14,16-20", 13-22-high, -, -, -, -, -, -, -, -, -, -, -, 9-14, -, -, 
 NP_666342 GeneID:235674 Acaa1b,0.175, No mitochondrial presequence, 15(MPP),0.133, 8-12, 2-11-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_570934 GeneID:113868 Acaa1a,0.432, Possessing mitochondrial presequence, 30(MPP),0.067, 8-12, 2-11-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_766044 GeneID:208194 Exog,0.72, Possessing mitochondrial presequence, 42(MPP),0.143, 90-94, 3-12-low, -, -, -, -, -, -, 2-7, -, -, 1-6, -, -, -, -, 
 NP_001165607 GeneID:208194 Exog,0.005, No mitochondrial presequence, 68(MPP),0.074, , 19-28-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_659042 GeneID:208638 Slc25a38,0.006, No mitochondrial presequence, 27(MPP),0.037," 47-51,94-98", 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_062788 GeneID:56295 Higd1a,0, No mitochondrial presequence, 65(MPP),0.077, , 19-28-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_694808 GeneID:102436 Lars2,0.545, Possessing mitochondrial presequence, 38(MPP),0.132," 28-32,58-62", 11-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_766366 GeneID:109731 Maob,0.009, No mitochondrial presequence," 43(MPP), 44(Icp55*)",0.023," 19-23,68-72,85-89,88-92", 18-27-low, -, -, -, -, 19-24, -, -, -, -, -, -, -, -, -, 
 NP_080949 GeneID:68316 Apoo,0.069, No mitochondrial presequence," 21(MPP), 22(Icp55*)",0.143," 1-5,89-93", 1-10-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001186266 GeneID:68316 Apoo,0.037, No mitochondrial presequence," 35(MPP), 36(Icp55*)",0.057, , 17-26-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001186268 GeneID:68316 Apoo,0, No mitochondrial presequence, 35(MPP),-0.086, 55-59, 17-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001186267 GeneID:68316 Apoo,0, No mitochondrial presequence, 35(MPP),-0.086, 55-59, 17-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_776101 GeneID:17161 Maoa,0, No mitochondrial presequence," 52(MPP), 53(Icp55*)",0, 28-32, 8-17-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_082334 GeneID:72018 Fundc1,0, No mitochondrial presequence, 30(MPP),-0.167," 33-37,71-75", 13-22-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_036149 GeneID:26926 Aifm1,0.244, No mitochondrial presequence, 21(MPP),0.19, , 11-22-low, -, -, -, -, -, -, 18-23, -, -, -, -, -, -, -, 
 NP_035528 GeneID:20523 Slc25a14,0.049, No mitochondrial presequence, 14(MPP),0.071," 84-88,88-92", 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001159922 GeneID:20523 Slc25a14,0.027, No mitochondrial presequence, 14(MPP),0.071," 87-91,91-95", 4-13-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_997609 GeneID:14933 Gyk,0.179, No mitochondrial presequence, 25(MPP),0.08, 4-8, 8-18-low, -, -, -, -, -, -, -, -, 2-7, -, 1-6, -, -, -, 
 NP_032220 GeneID:14933 Gyk,0.182, No mitochondrial presequence, 25(MPP),0.08, 4-8, 8-18-low, -, -, -, -, -, -, -, -, 2-7, -, 1-6, -, -, -, 
 NP_033722 GeneID:11306 Abcb7,0.561, Possessing mitochondrial presequence, 47(MPP),0.106," 27-31,80-84", 17-26-low, -, 7-12, -, -, -, 5-10, -, -, -, 4-9, -, -, -, -, 
 NP_080841 GeneID:68117 Apool,0.053, No mitochondrial presequence," 64(MPP), 65(Icp55*)",0.047, , 8-17-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_997508 GeneID:50790 Acsl4,0.007, No mitochondrial presequence, 46(MPP),0.13," 79-83,83-87", 16-25-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_062350 GeneID:50790 Acsl4,0.003, No mitochondrial presequence, 20(MPP),0.25," 38-42,42-46,74-78", 12-21-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001028772 GeneID:50790 Acsl4,0.003, No mitochondrial presequence, 20(MPP),0.25," 38-42,42-46,74-78", 12-21-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_035721 GeneID:21855 Timm17b,0, No mitochondrial presequence, 7(MPP),-0.286, , 12-21-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_032795 GeneID:18416 Otc,0.724, Possessing mitochondrial presequence, 24(MPP),0.167, 22-26, 1-11-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001094954 GeneID:245347 Gm4984,0.027, No mitochondrial presequence, 79(MPP),0.076, 68-72, 7-16-high, -, -, -, -, -, -, -, -, -, -, 5-10, -, -, -, 
 NP_062308 GeneID:104130 Ndufb11,0.98, Possessing mitochondrial presequence, 29(MPP),0.172," 2-6,9-13", 4-13-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_031477 GeneID:11740 Slc25a5,0.007, No mitochondrial presequence, 81(MPP),0.062, 78-82, 1-13-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001078966 GeneID:194744 Slc25a43,0.389, Possessing mitochondrial presequence, 92(MPP),0.098," 76-80,90-94", 17-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_062316 GeneID:54405 Ndufa1,0.029, No mitochondrial presequence, 41(MPP),0.073, 57-61, 1-10-low, -, -, -, -, -, -, -, -, 24-29, -, -, -, -, -, 
 NP_032349 GeneID:15929 Idh3g,0.566, Possessing mitochondrial presequence, 38(MPP),0.132," 2-6,12-16,30-34,77-81", 20-29-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_031461 GeneID:11666 Abcd1,0.092, No mitochondrial presequence, 18(MPP),0.222," 29-33,67-71,72-76,78-82,83-87", 4-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_034969 GeneID:17763 Mtcp1,0.01, No mitochondrial presequence, 42(MPP),0.071," 14-18,35-39", 9-18-high, -, -, -, -, -, -, -, -, -, -, -, -, 14-19, -, 
 NP_080402 GeneID:67391 Fundc2,0, No mitochondrial presequence, 30(MPP),0.033," 28-32,66-70", 7-16-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001034462 GeneID:17763 Mtcp1,0, No mitochondrial presequence, 28(MPP),-0.107, , 4-14-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_663605 GeneID:236900 Pdk3,0.656, Possessing mitochondrial presequence, 57(MPP),0.123, 4-8, 4-13-high, -, -, -, -, 4-9, -, -, -, -, -, -, -, -, -, 
 NP_079655 GeneID:66142 Cox7b,0.991, Possessing mitochondrial presequence, 24(MPP),0.167, , 4-13-high, -, -, -, -, -, -, 4-9, -, -, -, -, -, -, -, 
 NP_444344 GeneID:93728 Pabpc5,0, No mitochondrial presequence, 45(MPP),0.067," 14-18,45-49", 20-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001161467 GeneID:215201 Trmt2b,0.029, No mitochondrial presequence, 38(MPP),0.079, 35-39, 5-16-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001161466 GeneID:215201 Trmt2b,0.031, No mitochondrial presequence, 38(MPP),0.079, 35-39, 5-16-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_766128 GeneID:215201 Trmt2b,0.031, No mitochondrial presequence, 38(MPP),0.079, 35-39, 5-16-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_038926 GeneID:30058 Timm8a1,0, No mitochondrial presequence, 32(MPP),-0.062," 19-23,44-48,67-71", 15-24-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001075881 GeneID:67062 Slc25a53,0.017, No mitochondrial presequence, 58(MPP),0.017," 31-35,88-92", 16-28-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001107651 GeneID:67062 Slc25a53,0.042, No mitochondrial presequence, 80(MPP),0.025, 48-52, 6-15-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_033783 GeneID:11656 Alas2,0.872, Possessing mitochondrial presequence, 38(MPP),0.105," 22-26,85-89", 21-30-high, -, -, -, -, -, -, -, 25-30, -, 6-11, -, -, -, -, 
 NP_084219 GeneID:77622 Apex2,0.042, No mitochondrial presequence, 33(MPP),0.091," 1-5,31-35", 10-19-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001095916 GeneID:11656 Alas2,0.893, Possessing mitochondrial presequence, 38(MPP),0.105," 22-26,70-74", 21-30-high, -, -, -, -, -, -, -, 25-30, -, 6-11, -, -, -, -, 
 NP_058043 GeneID:15108 Hsd17b10,0.911, Possessing mitochondrial presequence, 30(MPP),0.133, 27-31, 6-15-high, -, -, -, -, -, 4-9, -, -, -, 3-8, -, -, -, -, 
 NP_062710 GeneID:56360 Acot9,0.996, Possessing mitochondrial presequence," 21(MPP), 22(Icp55*)",0.238," 1-5,5-9", 1-10-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_058044 GeneID:53381 Prdx4,0.012, No mitochondrial presequence, 35(MPP),0.143, , 12-21-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_032836 GeneID:18597 Pdha1,1, Possessing mitochondrial presequence," 29(MPP), 30(Icp55*)",0.207," 1-5,8-12,20-24,64-68,90-94", 1-12-high, -, -, -, -, -, -, -, -, -, -, -, 7-12, -, -, 
 NP_851832 GeneID:56078 Car5b,0.832, Possessing mitochondrial presequence, 33(MPP),0.182," 20-24,25-29,92-96", 3-12-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_032248 GeneID:15159 Hccs,0, No mitochondrial presequence, 37(MPP),0.054, , 1-12-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_659071 GeneID:216001 Micu1,0.578, Possessing mitochondrial presequence, 19(MPP),0.053, , 15-25-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001035988 GeneID:50493 Txnrd1,0.028, No mitochondrial presequence, 65(MPP),0.077, 47-51, 14-23-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001136276 GeneID:380660 Acss3,0.165, No mitochondrial presequence," 48(MPP), 49(Icp55*)",0.167, 72-76, 12-21-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_081134 GeneID:68876 Xrcc6bp1,0, No mitochondrial presequence, 22(MPP),-0.045, 65-69, 9-18-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_758512 GeneID:270685 Mthfd1l,0.815, Possessing mitochondrial presequence, 35(MPP),0.171, , 5-14-high, -, -, -, -, -, -, -, -, -, 7-12, -, -, -, -, 
 NP_001164257 GeneID:270685 Mthfd1l,0.815, Possessing mitochondrial presequence, 35(MPP),0.171, , 5-14-high, -, -, -, -, -, -, -, -, -, 7-12, -, -, -, -, 
 NP_001164256 GeneID:270685 Mthfd1l,0.815, Possessing mitochondrial presequence, 35(MPP),0.171, , 5-14-high, -, -, -, -, -, -, -, -, -, 7-12, -, -, -, -, 
 NP_082880 GeneID:73681 Trmt11,0.058, No mitochondrial presequence, 67(MPP),0.015," 7-11,95-99", 2-11-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_665686 GeneID:215951 Lace1,0.89, Possessing mitochondrial presequence, 30(MPP),0.167, 44-48, 1-10-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_570962 GeneID:170728 Rtn4ip1,0.9, Possessing mitochondrial presequence," 32(MPP), 40(Oct1)",0.219, , 8-24-high, -, -, -, -, -, -, 3-8, -, -, -, 17-22, -, -, -, 
 NP_082048 GeneID:71365 Pdss2,0.715, Possessing mitochondrial presequence, 41(MPP),0.098," 57-61,85-89", 3-14-high, -, -, -, -, -, -, -, -, -, 25-30, -, -, -, -, 
 NP_001161761 GeneID:71365 Pdss2,0.71, Possessing mitochondrial presequence, 41(MPP),0.098," 57-61,85-89", 3-14-high, -, -, -, -, -, -, -, -, -, 25-30, -, -, -, -, 
 NP_001028431 GeneID:215999 Mcu,0.253, No mitochondrial presequence, 49(MPP),0.102, , 1-10-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_722474 GeneID:71361 Aifm2,0, No mitochondrial presequence, 55(MPP),-0.018, 11-15, 16-25-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001034283 GeneID:71361 Aifm2,0, No mitochondrial presequence, 55(MPP),-0.018, 11-15, 16-25-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_835159 GeneID:71361 Aifm2,0, No mitochondrial presequence, 55(MPP),-0.018, 11-15, 16-25-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001271229 GeneID:71361 Aifm2,0, No mitochondrial presequence, 55(MPP),-0.018, 11-15, 16-25-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_705771 GeneID:216188 Aldh1l2,0.989, Possessing mitochondrial presequence," 11(MPP), 19(Oct1)",0.182, , 6-15-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001140162 GeneID:212862 Chpt1,0.13, No mitochondrial presequence, 28(MPP),0.143," 10-14,13-17", 12-21-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_659056 GeneID:212862 Chpt1,0.142, No mitochondrial presequence, 28(MPP),0.143," 10-14,13-17", 12-21-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_941038 GeneID:380660 Acss3,0.147, No mitochondrial presequence," 48(MPP), 49(Icp55*)",0.167, 72-76, 12-21-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_079619 GeneID:66084 Rmnd1,0.598, Possessing mitochondrial presequence, 32(MPP),0.125, 86-90, 1-10-high, -, -, -, -, -, -, 5-10, -, -, -, -, -, -, -, 
