 Sequence ID, Probability of presequence, Prediction,Cleavage_site, Net charge, Positions for TOM20 recognition motif (deliminated by comma), Position of amphypathic alpha-helix, BHHPPP, BPHBHH, HBHHBb, HBHHbB, HHBHHB, HHBPHB, HHBPHH, HHBPHP, HHHBBH, HHHBPH, HHHHBB, HHPBHH, HPBHHP, PHHBPH,
 NP_001231878 GeneID:57678 GPAM,0, No mitochondrial presequence, 46(MPP),-0.065," 63-67,75-79", 7-16-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_054817 GeneID:10935 PRDX3,0.98, Possessing mitochondrial presequence, 32(MPP),0.125, 5-9, 1-10-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_998814 GeneID:119559 SFXN4,0, No mitochondrial presequence, 42(MPP),0, 40-44, 18-27-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_006784 GeneID:10935 PRDX3,0.978, Possessing mitochondrial presequence, 32(MPP),0.125, 5-9, 1-10-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001093137 GeneID:387715 ARMS2,0, No mitochondrial presequence, 39(MPP),-0.026, 1-5, 20-29-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_699167 GeneID:118672 PSTK,0.006, No mitochondrial presequence," 37(MPP), 38(Icp55*)",0.135," 34-38,83-87", 17-26-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_004043 GeneID:664 BNIP3,0, No mitochondrial presequence, 57(MPP),-0.088, 43-47, 12-21-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_004083 GeneID:1892 ECHS1,0.996, Possessing mitochondrial presequence," 26(MPP), 27(Icp55*)",0.192, 3-7, 7-16-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_612393 GeneID:92170 MTG1,0.273, No mitochondrial presequence, 30(MPP),0.1, 27-31, 8-17-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_689849 GeneID:196074 METTL15,0.131, No mitochondrial presequence, 33(MPP),0.061," 7-11,80-84", 11-20-low, -, -, -, -, 7-12, -, -, -, -, -, -, -, -, -, 
 NP_001107000 GeneID:196074 METTL15,0.133, No mitochondrial presequence, 33(MPP),0.061," 7-11,80-84", 11-20-low, -, -, -, -, 7-12, -, -, -, -, -, -, -, -, -, 
 NP_659418 GeneID:196294 IMMP1L,0.244, No mitochondrial presequence, 59(MPP),0," 22-26,82-86", 2-11-high, -, 8-13, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_000010 GeneID:38 ACAT1,0.996, Possessing mitochondrial presequence, 32(MPP),0.156, 19-23, 18-27-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_005004 GeneID:4925 NUCB2,0.025, No mitochondrial presequence, 73(MPP),-0.055, , 14-23-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001743 GeneID:847 CAT,0, No mitochondrial presequence, 6(MPP),-0.167, , 6-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_003468 GeneID:8050 PDHX,0.518, Possessing mitochondrial presequence," 45(MPP), 53(Oct1)",0.156," 13-17,73-77", 12-21-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001159630 GeneID:8050 PDHX,0.577, Possessing mitochondrial presequence," 45(MPP), 53(Oct1)",0.156," 13-17,73-77", 12-21-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001128496 GeneID:8050 PDHX,0, No mitochondrial presequence, 18(MPP),0.056," 58-62,95-99", 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_631917 GeneID:221120 ALKBH3,0.018, No mitochondrial presequence, 7(MPP),0.286, 87-91, 10-19-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_002023 GeneID:2495 FTH1,0, No mitochondrial presequence, 11(MPP),0.091," 52-56,67-71", 6-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_060311 GeneID:54949 SDHAF2,0.306, No mitochondrial presequence, 34(MPP),0.088, 31-35, 19-28-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_054786 GeneID:28992 MACROD1,0.96, Possessing mitochondrial presequence, 37(MPP),0.162, , 3-14-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001265180 GeneID:283130 SLC25A45,0.092, No mitochondrial presequence, 51(MPP),0.059," 1-5,57-61", 8-17-low, -, -, -, -, 1-6, -, -, -, -, -, -, -, -, -, 
 NP_872362 GeneID:283130 SLC25A45,0.011, No mitochondrial presequence, 30(MPP),-0.033, 43-47, 3-12-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001265179 GeneID:283130 SLC25A45,0, No mitochondrial presequence, 69(MPP),0, 75-79, 3-12-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001070709 GeneID:283130 SLC25A45,0.092, No mitochondrial presequence, 51(MPP),0.059," 1-5,57-61", 8-17-low, -, -, -, -, 1-6, -, -, -, -, -, -, -, -, -, 
 NP_001035806 GeneID:5091 PC,0.997, Possessing mitochondrial presequence, 19(MPP),0.263," 37-41,49-53,52-56", 5-14-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_000911 GeneID:5091 PC,0.997, Possessing mitochondrial presequence, 19(MPP),0.263," 37-41,49-53,52-56", 5-14-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001867 GeneID:1374 CPT1A,0.01, No mitochondrial presequence, 46(MPP),0.043, , 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001027017 GeneID:1374 CPT1A,0.01, No mitochondrial presequence, 46(MPP),0.043, , 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001245323 GeneID:81570 CLPB,0.038, No mitochondrial presequence, 32(MPP),0.156, , 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001245322 GeneID:81570 CLPB,0.999, Possessing mitochondrial presequence, 67(MPP),0.149," 13-17,17-21,47-51", 15-24-high, -, -, -, -, 17-22, -, -, -, -, -, -, -, -, -, 
 NP_001245321 GeneID:81570 CLPB,0.999, Possessing mitochondrial presequence, 67(MPP),0.149," 13-17,17-21,47-51", 15-24-high, -, -, -, -, 17-22, -, -, -, -, -, -, -, -, -, 
 NP_110440 GeneID:81570 CLPB,0.999, Possessing mitochondrial presequence, 67(MPP),0.149," 13-17,17-21,47-51", 15-24-high, -, -, -, -, 17-22, -, -, -, -, -, -, -, -, -, 
 NP_057139 GeneID:51642 MRPL48,0.899, Possessing mitochondrial presequence, 47(MPP),0.106," 5-9,59-63", 1-10-high, -, -, -, -, -, -, 16-21, -, -, -, -, -, -, 15-20, 
 NP_078954 GeneID:79731 NARS2,0.954, Possessing mitochondrial presequence, 13(MPP),0.231, , 3-12-high, -, 9-14, -, -, -, 7-12, -, -, -, 6-11, -, -, -, -, 
 NP_001230180 GeneID:79731 NARS2,0.076, No mitochondrial presequence," 25(MPP), 26(Icp55*)",0.08," 71-75,83-87", 1-10-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001014811 GeneID:10873 ME3,0.275, No mitochondrial presequence, 50(MPP),0.16," 90-94,93-97", 14-25-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_006671 GeneID:10873 ME3,0.275, No mitochondrial presequence, 50(MPP),0.16," 90-94,93-97", 14-25-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001155058 GeneID:10873 ME3,0.275, No mitochondrial presequence, 50(MPP),0.16," 90-94,93-97", 14-25-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_036371 GeneID:23410 SIRT3,0.411, Possessing mitochondrial presequence, 38(MPP),0.079," 11-15,15-19,75-79", 13-22-high, -, -, -, 12-17, -, -, -, -, -, -, -, -, -, -, 
 NP_001017524 GeneID:23410 SIRT3,0, No mitochondrial presequence, 73(MPP),0," 66-70,70-74,80-84", 20-29-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001177990 GeneID:79751 SLC25A22,0.014, No mitochondrial presequence," 45(MPP), 53(Oct1)",0.067, 81-85, 11-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001177989 GeneID:79751 SLC25A22,0.014, No mitochondrial presequence," 45(MPP), 53(Oct1)",0.067, 81-85, 11-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_078974 GeneID:79751 SLC25A22,0.014, No mitochondrial presequence," 45(MPP), 53(Oct1)",0.067, 81-85, 11-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_066957 GeneID:6150 MRPL23,0.341, No mitochondrial presequence, 19(MPP),0.158, , 21-30-low, -, -, -, -, -, -, 1-6, -, -, -, -, -, -, -, 
 NP_036324 GeneID:26515 TIMM10B,0.016, No mitochondrial presequence, 13(MPP),0.077," 29-33,53-57", 9-18-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_071344 GeneID:63875 MRPL17,0.897, Possessing mitochondrial presequence, 31(MPP),0.161," 56-60,72-76,86-90", 10-19-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_057313 GeneID:51700 CYB5R2,0, No mitochondrial presequence, 35(MPP),0.086," 65-69,84-88", 10-19-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001091990 GeneID:10553 HTATIP2,0.005, No mitochondrial presequence, 25(MPP),0.04, , 11-20-low, -, -, -, -, -, -, -, -, -, -, 19-24, -, -, -, 
 NP_001091991 GeneID:10553 HTATIP2,0, No mitochondrial presequence," 54(MPP), 55(Icp55*)",0.056, , 5-14-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_006401 GeneID:10553 HTATIP2,0, No mitochondrial presequence," 54(MPP), 55(Icp55*)",0.056, , 5-14-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001091993 GeneID:10553 HTATIP2,0, No mitochondrial presequence," 54(MPP), 55(Icp55*)",0.056, , 5-14-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001091992 GeneID:10553 HTATIP2,0, No mitochondrial presequence," 54(MPP), 55(Icp55*)",0.056, , 5-14-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_115981 GeneID:84680 ACCS,0.051, No mitochondrial presequence, 83(MPP),-0.036, 69-73, 1-10-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001120691 GeneID:84680 ACCS,0.051, No mitochondrial presequence, 83(MPP),-0.036, 69-73, 1-10-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001137456 GeneID:114971 PTPMT1,0.092, No mitochondrial presequence, 27(MPP),0.037," 11-15,87-91", 17-26-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_783859 GeneID:114971 PTPMT1,0.133, No mitochondrial presequence, 27(MPP),0.037, 11-15, 17-26-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_055157 GeneID:23788 MTCH2,0.032, No mitochondrial presequence, 47(MPP),0.021," 23-27,58-62", 9-21-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_004542 GeneID:4722 NDUFS3,0.962, Possessing mitochondrial presequence, 36(MPP),0.167," 6-10,69-73", 5-14-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_036588 GeneID:26519 TIMM10,0, No mitochondrial presequence, 54(MPP),-0.037," 51-55,55-59", 16-25-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_964011 GeneID:10249 GLYAT,0.146, No mitochondrial presequence, 20(MPP),0.1, , 9-18-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_005829 GeneID:10249 GLYAT,0.147, No mitochondrial presequence, 20(MPP),0.1, , 9-18-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_060310 GeneID:54948 MRPL16,0.985, Possessing mitochondrial presequence, 74(MPP),0.081, 1-5, 1-14-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_004065 GeneID:1351 COX8A,0.996, Possessing mitochondrial presequence," 11(MPP), 12(Icp55*)",0.091, , 8-19-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_004313 GeneID:572 BAD,0, No mitochondrial presequence, 21(MPP),-0.238, , 12-22-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_857635 GeneID:25824 PRDX5,0.439, Possessing mitochondrial presequence," 45(MPP), 46(Icp55*)",0.067, 46-50, 8-17-high, -, -, -, -, -, -, -, -, -, -, 6-11, -, -, -, 
 NP_857634 GeneID:25824 PRDX5,0.545, Possessing mitochondrial presequence," 45(MPP), 46(Icp55*)",0.067, 46-50, 8-17-high, -, -, -, -, -, -, -, -, -, -, 6-11, -, -, -, 
 NP_036226 GeneID:25824 PRDX5,0.556, Possessing mitochondrial presequence," 45(MPP), 46(Icp55*)",0.067, 46-50, 8-17-high, -, -, -, -, -, -, -, -, -, -, 6-11, -, -, -, 
 NP_005519 GeneID:3338 DNAJC4,0.815, Possessing mitochondrial presequence, 53(MPP),0.094," 9-13,50-54,82-86", 13-22-high, -, -, -, 10-15, -, -, -, -, -, -, -, -, -, -, 
 NP_116784 GeneID:572 BAD,0, No mitochondrial presequence, 21(MPP),-0.238, , 12-22-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001186674 GeneID:402 ARL2,0.062, No mitochondrial presequence, 19(MPP),0.211, , 3-12-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001658 GeneID:402 ARL2,0.059, No mitochondrial presequence, 19(MPP),0.211, , 3-12-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_004918 GeneID:740 MRPL49,0.998, Possessing mitochondrial presequence," 25(MPP), 33(Oct1)",0.2," 35-39,48-52", 4-13-high, 24-29, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_733935 GeneID:65003 MRPL11,0.447, Possessing mitochondrial presequence, 43(MPP),0.163," 4-8,19-23,90-94", 16-25-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_733934 GeneID:65003 MRPL11,0.039, No mitochondrial presequence, 17(MPP),0.294," 4-8,64-68,88-92", 20-29-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_057134 GeneID:65003 MRPL11,0.486, Possessing mitochondrial presequence, 43(MPP),0.163," 4-8,19-23,90-94", 16-25-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_071504 GeneID:5091 PC,0.997, Possessing mitochondrial presequence, 19(MPP),0.263," 37-41,49-53,52-56", 5-14-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001159574 GeneID:4723 NDUFV1,0.809, Possessing mitochondrial presequence, 16(MPP),0.188, , 20-29-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_009034 GeneID:4723 NDUFV1,0.993, Possessing mitochondrial presequence, 20(MPP),0.2, , 11-20-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001230679 GeneID:254552 NUDT8,0.821, Possessing mitochondrial presequence, 29(MPP),0.103, 14-18, 16-25-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_862826 GeneID:254552 NUDT8,0.758, Possessing mitochondrial presequence, 29(MPP),0.103, 14-18, 16-25-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_006010 GeneID:10312 TCIRG1,0.149, No mitochondrial presequence, 51(MPP),0, , 1-16-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_002487 GeneID:4728 NDUFS8,0.999, Possessing mitochondrial presequence," 26(MPP), 34(Oct1)",0.154, 9-13, 9-18-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_006044 GeneID:10312 TCIRG1,0.029, No mitochondrial presequence," 61(MPP), 62(Icp55*)",-0.049, 66-70, 12-23-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_852616 GeneID:219927 MRPL21,0.044, No mitochondrial presequence," 10(MPP), 11(Icp55*)",0.1," 7-11,13-17,45-49,82-86", 3-12-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_852615 GeneID:219927 MRPL21,0.312, No mitochondrial presequence, 39(MPP),0.103," 10-14,92-96", 10-21-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_057649 GeneID:51287 COA4,0, No mitochondrial presequence, 80(MPP),-0.037, 36-40, 19-29-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_003347 GeneID:7352 UCP3,0, No mitochondrial presequence, 88(MPP),0.034, 14-18, 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_073714 GeneID:7352 UCP3,0, No mitochondrial presequence, 88(MPP),0.034, 14-18, 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_003346 GeneID:7351 UCP2,0, No mitochondrial presequence, 61(MPP),0.033, , 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001138341 GeneID:387787 LIPT2,0.49, Possessing mitochondrial presequence, 73(MPP),0.014, 5-9, 21-30-high, -, -, -, -, 5-10, -, -, -, -, -, -, -, -, -, 
 NP_004540 GeneID:4718 NDUFC2,0.147, No mitochondrial presequence, 51(MPP),0.078, , 11-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001190983 GeneID:4718 NDUFC2,0.126, No mitochondrial presequence, 51(MPP),0.078, , 11-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001190984 GeneID:4718 NDUFC2,0.107, No mitochondrial presequence, 51(MPP),0.078, , 11-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001273049 GeneID:60492 CCDC90B,0, No mitochondrial presequence, 47(MPP),-0.021, , 3-12-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001273045 GeneID:60492 CCDC90B,0.025, No mitochondrial presequence, 16(MPP),-0.062, , 19-28-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_068597 GeneID:60492 CCDC90B,0.942, Possessing mitochondrial presequence," 34(MPP), 42(Oct1)",0.176, 6-10, 18-27-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001273048 GeneID:60492 CCDC90B,0.011, No mitochondrial presequence, 26(MPP),0.077, , 13-22-high, -, 5-10, -, -, -, 3-8, -, -, -, -, -, -, -, -, 
 NP_001273047 GeneID:60492 CCDC90B,0.011, No mitochondrial presequence, 26(MPP),0.077, , 13-22-high, -, 5-10, -, -, -, 3-8, -, -, -, -, -, -, -, -, 
 NP_001273046 GeneID:60492 CCDC90B,0, No mitochondrial presequence, 23(MPP),0, , 10-19-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001180466 GeneID:55863 TMEM126B,0.671, Possessing mitochondrial presequence, 76(MPP),0.066," 2-6,5-9,8-12,73-77", 1-10-high, -, -, -, -, 5-10, -, -, -, -, -, -, 1-6, -, -, 
 NP_001243476 GeneID:55863 TMEM126B,0.401, Possessing mitochondrial presequence, 50(MPP),0.14, 47-51, 5-14-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_115649 GeneID:84233 TMEM126A,0, No mitochondrial presequence, 85(MPP),0.035, 54-58, 17-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001243475 GeneID:55863 TMEM126B,0.003, No mitochondrial presequence, 66(MPP),0.03, 63-67, 20-29-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001180467 GeneID:55863 TMEM126B,0.003, No mitochondrial presequence, 66(MPP),0.03, 63-67, 20-29-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_060950 GeneID:55863 TMEM126B,0, No mitochondrial presequence, 51(MPP),0.02," 25-29,28-32,93-97", 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001231664 GeneID:84233 TMEM126A,0.005, No mitochondrial presequence, 15(MPP),0, 86-90, 13-22-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_004100 GeneID:2230 FDX1,0.996, Possessing mitochondrial presequence," 52(MPP), 53(Icp55*)",0.115," 9-13,21-25", 17-26-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001922 GeneID:1737 DLAT,0.996, Possessing mitochondrial presequence," 85(MPP), 86(Icp55*)",0.129, 1-5, 18-27-low, -, -, -, -, -, -, -, -, 4-9, -, -, -, -, -, 
 NP_001263433 GeneID:6392 SDHD,0.492, Possessing mitochondrial presequence, 32(MPP),0.094, 81-85, 7-16-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001263432 GeneID:6392 SDHD,0.997, Possessing mitochondrial presequence, 28(MPP),0.143, 59-63, 7-16-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_002993 GeneID:6392 SDHD,0.996, Possessing mitochondrial presequence, 28(MPP),0.143, , 7-16-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001263435 GeneID:6392 SDHD,0.995, Possessing mitochondrial presequence, 28(MPP),0.143, , 7-16-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_036591 GeneID:26521 TIMM8B,0.102, No mitochondrial presequence, 15(MPP),0.4," 6-10,27-31,44-48,52-56,75-79", 12-21-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_000308 GeneID:5805 PTS,0.488, Possessing mitochondrial presequence," 26(MPP), 27(Icp55*)",0.154," 27-31,76-80", 21-30-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_056338 GeneID:25996 REXO2,0.965, Possessing mitochondrial presequence, 25(MPP),0.16, 40-44, 5-14-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_006467 GeneID:10632 ATP5L,0.395, Possessing mitochondrial presequence, 49(MPP),0.061," 46-50,53-57", 1-10-low, -, -, -, -, -, -, 4-9, -, -, -, -, -, -, 3-8, 
 NP_001245137 GeneID:3145 HMBS,0, No mitochondrial presequence, 33(MPP),0.121, 81-85, 20-29-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001157749 GeneID:2542 SLC37A4,0.1, No mitochondrial presequence, 11(MPP),0.091, 62-66, 13-22-low, -, -, -, -, -, -, 8-13, -, -, -, -, -, -, -, 
 NP_001245138 GeneID:3145 HMBS,0.13, No mitochondrial presequence, 16(MPP),0.312, 64-68, 19-29-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001458 GeneID:2542 SLC37A4,0.1, No mitochondrial presequence, 11(MPP),0.091, 62-66, 13-22-low, -, -, -, -, -, -, 8-13, -, -, -, -, -, -, -, 
 NP_000181 GeneID:3145 HMBS,0, No mitochondrial presequence, 33(MPP),0.121, 81-85, 20-29-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001019553 GeneID:3145 HMBS,0.143, No mitochondrial presequence, 16(MPP),0.312, 64-68, 19-29-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001157751 GeneID:2542 SLC37A4,0.009, No mitochondrial presequence, 54(MPP),0.074," 48-52,52-56", 12-21-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001157750 GeneID:2542 SLC37A4,0.101, No mitochondrial presequence, 11(MPP),0.091, 62-66, 13-22-low, -, -, -, -, -, -, 8-13, -, -, -, -, -, -, -, 
 NP_001157752 GeneID:2542 SLC37A4,0.1, No mitochondrial presequence, 11(MPP),0.091, 62-66, 13-22-low, -, -, -, -, -, -, 8-13, -, -, -, -, -, -, -, 
 NP_001269287 GeneID:79671 NLRX1,0.313, No mitochondrial presequence, 52(MPP),0.115, 16-20, 12-21-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001269073 GeneID:79671 NLRX1,0.313, No mitochondrial presequence, 52(MPP),0.115, 16-20, 12-21-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001269072 GeneID:79671 NLRX1,0.313, No mitochondrial presequence, 52(MPP),0.115, 16-20, 12-21-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_078894 GeneID:79671 NLRX1,0.313, No mitochondrial presequence, 52(MPP),0.115, 16-20, 12-21-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001138299 GeneID:84881 RPUSD4,0.09, No mitochondrial presequence, 46(MPP),0.087," 43-47,91-95", 21-30-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_116184 GeneID:84881 RPUSD4,0.082, No mitochondrial presequence, 46(MPP),0.087," 43-47,91-95", 21-30-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_060017 GeneID:55572 FOXRED1,0.975, Possessing mitochondrial presequence, 24(MPP),0.292," 2-6,91-95", 2-11-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_777587 GeneID:219938 SPATA19,0.008, No mitochondrial presequence, 53(MPP),-0.038, 39-43, 2-11-low, -, -, -, -, -, -, -, -, -, -, 9-14, -, -, -, 
 NP_055199 GeneID:27034 ACAD8,0.939, Possessing mitochondrial presequence," 30(MPP), 31(Icp55*)",0.167," 48-52,78-82", 16-25-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_689482 GeneID:91574 C12orf65,0.028, No mitochondrial presequence, 25(MPP),0.08, 13-17, 8-17-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001137377 GeneID:91574 C12orf65,0.028, No mitochondrial presequence, 25(MPP),0.08, 13-17, 8-17-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001181924 GeneID:91574 C12orf65,0.028, No mitochondrial presequence, 25(MPP),0.08, 13-17, 8-17-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001138303 GeneID:11331 PHB2,0.806, Possessing mitochondrial presequence, 89(MPP),0.067, 22-26, 1-12-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001254629 GeneID:11331 PHB2,0.798, Possessing mitochondrial presequence, 89(MPP),0.067, 22-26, 1-12-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_064696 GeneID:4257 MGST1,0.017, No mitochondrial presequence, 74(MPP),0.027," 24-28,59-63", 3-12-low, -, -, -, -, -, -, -, -, -, -, -, 23-28, -, -, 
 NP_001247440 GeneID:4257 MGST1,0.017, No mitochondrial presequence, 74(MPP),0.027," 24-28,59-63", 3-12-low, -, -, -, -, -, -, -, -, -, -, -, 23-28, -, -, 
 NP_001247441 GeneID:4257 MGST1,0.012, No mitochondrial presequence, 42(MPP),0," 24-28,59-63", 3-12-low, -, -, -, -, -, -, -, -, -, -, -, 23-28, -, -, 
 NP_665735 GeneID:4257 MGST1,0.017, No mitochondrial presequence, 74(MPP),0.027," 24-28,59-63", 3-12-low, -, -, -, -, -, -, -, -, -, -, -, 23-28, -, -, 
 NP_665734 GeneID:4257 MGST1,0.017, No mitochondrial presequence, 74(MPP),0.027," 24-28,59-63", 3-12-low, -, -, -, -, -, -, -, -, -, -, -, 23-28, -, -, 
 NP_665707 GeneID:4257 MGST1,0.017, No mitochondrial presequence, 74(MPP),0.027," 24-28,59-63", 3-12-low, -, -, -, -, -, -, -, -, -, -, -, 23-28, -, -, 
